;country;region;area;pop_dens;literacy;phones_per1000;startup_score;forward_thinking_score;happiness_score;homicide_rate;co2_emissions;gdp_per_capita;population
50;Croatia;EASTERN EUROPE                     ;56542.0;79.5;98.5;420.4;53.0;52.4;5.882;1.0;19408194.0;17398.8;4105267.0
51;Cuba;LATIN AMER. & CARIB    ;110860.0;102.7;97.0;74.7;;;;5.0;30389116.0;9477.9;11326616.0
52;Cyprus;NEAR EAST                          ;9250.0;84.8;97.6;;37.0;53.28;6.223;1.2;6872427.0;30798.5;1207359.0
53;Czech Republic;EASTERN EUROPE                     ;78866.0;129.8;99.9;314.3;65.0;50.88;6.965;0.7;;26378.5;
54;Denmark;WESTERN EUROPE                     ;43094.0;126.5;100.0;614.6;83.0;55.37;7.62;1.0;38007645.0;67803.0;5792202.0
55;Djibouti;SUB-SAHARAN AFRICA                 ;23000.0;21.2;67.9;22.8;;34.81;;;1508851.0;3363.7;988000.0
56;Dominica;LATIN AMER. & CARIB    ;754.0;91.4;94.0;304.8;;;;20.8;185767.0;7560.0;71986.0
57;Dominican Republic;LATIN AMER. & CARIB    ;48730.0;188.5;84.7;97.4;;49.87;5.545;8.9;23466740.0;8603.8;10847910.0
58;East Timor;ASIA (EX. NEAR EAST)         ;15007.0;70.8;58.6;;;;;4.1;;;
59;Ecuador;LATIN AMER. & CARIB    ;283560.0;47.8;92.5;125.6;;48.66;5.764;7.8;40065690.0;5934.9;17643054.0
60;Egypt;NORTHERN AFRICA                    ;1001450.0;78.8;57.7;131.8;;47.02;4.283;2.6;219377350.0;;102334404.0
61;El Salvador;LATIN AMER. & CARIB    ;21040.0;324.3;80.2;142.4;;44.03;6.061;37.2;6853766.0;4408.5;6486205.0
62;Equatorial Guinea;SUB-SAHARAN AFRICA                 ;28051.0;19.3;85.7;18.5;;41.39;;;2156371.0;8462.3;1402985.0
63;Eritrea;SUB-SAHARAN AFRICA                 ;121320.0;39.5;58.6;7.9;;;;;684140.0;642.5;3546421.0
64;Estonia;BALTICS                            ;45226.0;29.3;99.8;333.8;77.0;48.96;6.189;3.2;22402414.0;27280.7;1326535.0
65;Ethiopia;SUB-SAHARAN AFRICA                 ;1127127.0;66.3;42.7;8.2;;44.1;4.275;8.8;10438855.0;944.0;114963588.0
66;Faroe Islands;WESTERN EUROPE                     ;1399.0;33.8;;503.8;;;;;;66320.7;
67;Fiji;OCEANIA                            ;18270.0;49.6;93.7;112.6;;;;;1703193.0;5086.0;896445.0
68;Finland;WESTERN EUROPE                     ;338145.0;15.5;100.0;405.3;72.0;56.31;7.842;1.6;51183960.0;53982.6;5540720.0
69;France;WESTERN EUROPE                     ;547030.0;111.3;99.0;586.4;81.0;55.31;6.69;1.2;331533320.0;43518.5;65273511.0
70;French Guiana;LATIN AMER. & CARIB    ;91000.0;2.2;83.0;255.6;;;;13.2;1473719.0;;298682.0
71;French Polynesia;OCEANIA                            ;4167.0;65.9;98.0;194.5;;;;;1003249.0;20182.6;280908.0
72;Gabon;SUB-SAHARAN AFRICA                 ;267667.0;5.3;63.2;27.4;;34.35;4.852;;5694208.0;8017.0;2225734.0
73;Gambia, The;SUB-SAHARAN AFRICA                 ;11300.0;145.3;40.1;26.8;;;;;;835.6;
74;Gaza Strip;NEAR EAST                          ;360.0;3968.8;;244.3;;;;;;;
75;Georgia;C.W. OF IND. STATES ;69700.0;66.9;99.0;146.6;;45.96;4.891;2.2;8610414.0;5042.4;3989167.0
76;Germany;WESTERN EUROPE                     ;357021.0;230.9;99.0;667.9;87.0;65.15;7.155;0.8;775752190.0;50801.8;83783942.0
77;Ghana;SUB-SAHARAN AFRICA                 ;239460.0;93.6;74.8;14.4;;48.54;5.088;2.1;14469986.0;2445.3;31072940.0
78;Gibraltar;WESTERN EUROPE                     ;7.0;3989.7;;877.7;;;;3.0;572708.0;;33691.0
79;Greece;WESTERN EUROPE                     ;131940.0;81.0;97.5;589.7;61.0;50.28;5.723;0.8;67840662.0;20276.5;10423054.0
80;Greenland;NORTHERN AMERICA                   ;2166086.0;0.0;;448.9;;;;5.3;1530.0;54570.4;56770.0
81;Grenada;LATIN AMER. & CARIB    ;344.0;260.8;98.0;364.5;;;;10.8;554848.0;9928.6;112523.0
82;Guadeloupe;LATIN AMER. & CARIB    ;1780.0;254.4;90.0;463.8;;;;5.8;2478038.0;;400124.0
83;Guam;OCEANIA                            ;541.0;316.1;99.0;492.0;;;;;;34624.3;168775.0
84;Guatemala;LATIN AMER. & CARIB    ;108890.0;112.9;70.6;92.1;;48.92;6.435;22.5;18539316.0;5025.6;17915568.0
85;Guernsey;WESTERN EUROPE                     ;78.0;838.6;;842.4;;;;;;;
86;Guinea;SUB-SAHARAN AFRICA                 ;245857.0;39.4;35.9;2.7;;34.32;4.984;;2071798.0;1174.4;13132795.0
87;Guinea-Bissau;SUB-SAHARAN AFRICA                 ;36120.0;39.9;42.4;7.4;;;;1.1;318706.0;813.0;1968001.0
88;Guyana;LATIN AMER. & CARIB    ;214970.0;3.6;98.8;143.5;;40.01;;20.0;3253057.0;9374.8;786552.0
89;Haiti;LATIN AMER. & CARIB    ;27750.0;299.4;52.9;16.9;;38.22;3.615;6.7;3086897.0;1814.7;11402528.0
